Year,"Average
Closing Price",Year Open,Year High,Year Low,Year Close,"Annual
% Change"
1946,17.07,17.25,19.25,14.12,15.3,-11.87%
1945,15.14,13.33,17.68,13.21,17.36,30.72%
1944,12.47,11.66,13.29,11.56,13.28,13.80%
1943,11.52,9.84,12.64,9.84,11.67,19.45%
1942,8.67,8.89,9.77,7.47,9.77,12.43%
1941,9.83,10.48,10.86,8.37,8.69,-17.86%
1940,11.01,12.63,12.77,8.99,10.58,-15.29%
1939,12.05,13.08,13.23,10.18,12.49,-5.45%
1938,11.48,10.52,13.91,8.5,13.21,25.21%
1937,15.41,17.02,18.68,10.17,10.55,-38.59%
1936,15.45,13.4,17.69,13.4,17.18,27.92%
1935,10.58,9.51,13.46,8.06,13.43,41.37%
1934,9.83,10.11,11.82,8.36,9.5,-5.94%
1933,9.04,6.83,12.2,5.53,10.1,46.59%
1932,6.92,7.82,9.31,4.4,6.89,-15.15%
1931,13.66,15.85,18.17,7.72,8.12,-47.07%
1930,21,21.18,25.92,14.44,15.34,-28.48%
1929,26.19,24.81,31.86,17.66,21.45,-11.91%
1928,19.94,17.76,24.35,16.95,24.35,37.88%
